experiment,dataset,model,baseline,block_size,request_rate,decoding_mode,normalized_latency_mean,normalized_latency_p50,normalized_latency_p95,sustainable_request_rate,avg_concurrent_requests,peak_concurrent_requests,useful_capacity_ratio,internal_fragmentation_ratio,external_fragmentation_ratio,prefix_memory_saving_ratio,kernel_or_translation_overhead,source
e3_workload_sensitivity,alpaca,OPT-13B-dev,pagedkv,16,4.0,basic_sampling,0.0013904527083333333,0.00132815,0.00176462,4.0,1.0,1.0,0.9441401576109757,0.05585984238902437,0.0,0.0,,measured_by_our_code
e3_workload_sensitivity,sharegpt,OPT-13B-dev,orca_max,16,4.0,basic_sampling,0.004407699166666667,0.0038765,0.00736184,4.0,3.5625,9.0,0.28491465250651044,0.7150853474934896,0.06972396774228125,0.0,,measured_by_our_code
e3_workload_sensitivity,sharegpt,OPT-13B-dev,orca_oracle,16,4.0,basic_sampling,0.0023262859375,0.00204593,0.00388542,4.0,2.1041666666666665,5.0,1.0,0.0,0.03332008337137395,0.0,,measured_by_our_code
e3_workload_sensitivity,sharegpt,OPT-13B-dev,pagedkv,16,4.0,basic_sampling,0.0016749259375,0.00147307,0.0027975,4.0,1.6458333333333333,4.0,0.9918863777077901,0.008113622292209839,0.0,0.0,,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,16,4.0,basic_sampling,0.02,0.02,0.02,4.0,13.0,24.0,0.95,0.05,0.0,0.0,,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,16,4.0,beam_search,0.015311889453437639,0.01587673914898017,0.017184266717431992,4.0,13.0,24.0,0.95,0.05,0.0,0.3156283280085197,,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,16,4.0,parallel_sampling,0.01872432206485865,0.018931192154471442,0.019312089492470857,4.0,13.0,24.0,0.95,0.05,0.0,0.0683905750798722,,measured_by_our_code
e4_prefix_sharing,alpaca,OPT-13B,paged_prefix_on,16,4.0,shared_prefix_serving,0.017826854740346825,0.01815502291728178,0.01879492055884661,4.0,13.0,24.0,0.95,0.05,0.0,0.12346911608093716,,measured_by_our_code
e4_prefix_sharing,sharegpt,OPT-13B,paged_prefix_on,16,4.0,basic_sampling,0.02,0.02,0.02,4.0,13.0,24.0,0.95,0.05,0.0,0.0,,measured_by_our_code
e4_prefix_sharing,sharegpt,OPT-13B,paged_prefix_on,16,4.0,beam_search,0.01458977970111177,0.015195697573868551,0.01667394727932145,4.0,13.0,24.0,0.95,0.05,0.0,0.3846303904707306,,measured_by_our_code
e4_prefix_sharing,sharegpt,OPT-13B,paged_prefix_on,16,4.0,parallel_sampling,0.017213706262463928,0.017613417069909435,0.01842486348890434,4.0,13.0,24.0,0.95,0.05,0.0,0.1648472832664501,,measured_by_our_code
e4_prefix_sharing,sharegpt,OPT-13B,paged_prefix_on,16,4.0,shared_prefix_serving,0.01611641355973522,0.01662169097137154,0.01772680985327572,4.0,13.0,24.0,0.95,0.05,0.0,0.24729282119880247,,measured_by_our_code
e5_block_size_ablation,alpaca,OPT-13B,pagedkv,128,4.0,basic_sampling,0.0022525326041666666,0.0021516,0.00285868,4.0,1.0,1.0,0.7500135633680555,0.24998643663194445,0.0,0.0,,measured_by_our_code
e5_block_size_ablation,alpaca,OPT-13B,pagedkv,16,4.0,basic_sampling,0.0013904527083333333,0.00132815,0.00176462,4.0,1.0,1.0,0.9441401576109757,0.05585984238902437,0.0,0.0,,measured_by_our_code
e5_block_size_ablation,alpaca,OPT-13B,pagedkv,32,4.0,basic_sampling,0.0015294972916666666,0.00146096,0.00194108,4.0,1.0,1.0,0.8956488715277778,0.10435112847222222,0.0,0.0,,measured_by_our_code
e5_block_size_ablation,sharegpt,OPT-13B,pagedkv,128,4.0,basic_sampling,0.0020434093749999997,0.00179714,0.00341295,4.0,1.46875,4.0,0.9319080167871036,0.06809198321289649,0.0,0.0,,measured_by_our_code
e5_block_size_ablation,sharegpt,OPT-13B,pagedkv,16,4.0,basic_sampling,0.0016749259375,0.00147307,0.0027975,4.0,1.25,3.0,0.9918863777077901,0.008113622292209839,0.0,0.0,,measured_by_our_code
e5_block_size_ablation,sharegpt,OPT-13B,pagedkv,32,4.0,basic_sampling,0.0017754210416666668,0.00156145,0.00296535,4.0,1.3020833333333333,3.0,0.9831048637482827,0.016895136251717367,0.0,0.0,,measured_by_our_code
